name,calories,proteins,fats,carbs
"Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",243.0,17.54,18.66,0.0
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, вареная",305.0,24.42,22.26,0.0
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, вареная",270.0,25.26,17.98,0.0
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",232.0,17.95,17.2,0.0
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",277.0,16.74,22.74,0.0
"Мясной набор, баранина, Новая Зеландия, замороженная, только жир, вареная",586.0,9.72,60.39,0.0
"Мясной набор, баранина, Новая Зеландия, замороженная, только жир, сырая",640.0,6.92,67.63,0.0
"Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, вареная",206.0,29.59,8.86,0.0
"Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, сырая",128.0,20.75,4.41,0.0
"Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, вареная",586.0,12.16,59.18,0.0
"Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, сырая",665.0,6.65,70.61,0.0
"Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, вареная",206.0,28.22,9.52,0.0
"Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая",134.0,20.29,5.25,0.0
Мясо косули,138.0,21.1,6.0,0.0
Мясо кролика,183.0,21.2,11.0,0.0
Мясо лося,101.0,21.4,1.7,0.0
Мясо сайгака,208.0,21.2,13.7,0.0
Мясо яка,112.0,20.0,3.5,0.0
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная",269.0,22.7,19.08,0.0
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",268.0,23.84,18.39,0.0
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, сырая",244.0,17.07,18.96,0.0
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, тушеная",338.0,29.46,23.57,0.0
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, сырая",251.0,17.19,19.74,0.0
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, тушеная",342.0,29.43,24.03,0.0
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",272.0,16.16,22.89,0.24
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная",357.0,28.21,26.27,0.0
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, сырая",154.0,19.72,8.3,0.0
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, тушеная",285.0,34.06,15.5,0.0
"Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная",242.0,26.2,14.42,0.0
"Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",209.0,18.47,14.42,0.0
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная",246.0,24.81,15.56,0.0
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, жаренная",234.0,25.34,13.95,0.0
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая",201.0,18.76,13.37,0.0
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",206.0,18.64,14.52,0.13
"Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, жаренная",181.0,27.68,7.01,0.0
"Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, сырая",126.0,21.1,4.64,0.0
Оленина 1 кат.,155.0,19.5,8.5,0.0
"Оленина тушеная, консервы",171.0,19.3,10.4,0.0
"Оленина, 2 категории",125.0,21.0,4.5,0.0
"Олень, (лань)",120.0,22.96,2.42,0.0
"Олень, (лань), запеченный",158.0,30.21,3.19,0.0
"Олень, (лань), мякоть плечевой части, только мясо, тушеный",191.0,36.28,3.95,0.0
"Олень, (лань), стейк из верхней части бедра, только мясо, жареный на открытом огне",152.0,31.47,1.92,0.0
"Олень, (лань), стейк из филея, только мясо, жаренный на открытом огне",150.0,30.2,2.38,0.0
"Олень, сырой, (Аляска, Ситка)",116.0,21.5,2.66,0.0
Ондатра (выхухоль),162.0,20.76,8.1,0.0
"Ондатра (выхухоль), запеченная",234.0,30.09,11.74,0.0
"Опоссум, запеченный",221.0,30.2,10.2,0.0
Печень баранья,101.0,18.7,2.9,0.0
"Печень баранья, жаренная на сковороде",238.0,25.53,12.65,3.78
"Печень баранья, тушеная",220.0,30.57,8.81,2.53
"Печень северного оленя карибу, (Аляска)",122.0,15.0,3.9,6.8
"Поджарка из баранины, по 1-408",409.0,19.5,35.1,3.9
Поджелудочная железа баранья,152.0,14.84,9.82,0.0
Поджелудочная железа баранья тушеная,234.0,22.83,15.12,0.0
Почки бараньи,77.0,13.6,2.5,0.0
"Почки бараньи, тушеные",137.0,23.65,3.62,0.99
"Рагу из баранины, по 1-430",152.0,5.1,10.1,10.1
"Рагу из кролика, по 2-10",123.0,6.4,6.1,10.4
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная",341.0,21.82,27.53,0.0
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная на открытом огне",340.0,23.06,26.82,0.0
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",342.0,15.32,30.71,0.0
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная",253.0,22.06,18.29,0.04
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, жаренная",317.0,19.86,25.74,0.0
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, сырая",311.0,15.87,27.0,0.0
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",240.0,18.12,18.52,0.13
"Ребра, баранина, Новая Зеландия, замороженная, только мясо, жаренная",196.0,24.42,10.16,0.0
"Ребра, баранина, Новая Зеландия, замороженная, только мясо, сырая",160.0,20.65,8.61,0.0
Рубец бараний,82.0,11.5,4.0,0.0
"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, сырая",201.0,18.91,13.38,0.0
"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, тушеная",243.0,28.37,13.46,0.0
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая",223.0,18.04,16.15,0.0
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, тушеная",258.0,26.97,15.83,0.0
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",183.0,20.09,11.38,0.09
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная",258.0,26.97,15.83,0.0
"Рулька, баранина, Новая Зеландия, замороженная, только мясо, сырая",122.0,22.05,3.77,0.0
"Рулька, баранина, Новая Зеландия, замороженная, только мясо, тушеная",209.0,33.31,8.4,0.0
Селезенка баранья,101.0,17.2,3.1,0.0
"Селезенка баранья, тушеная",156.0,26.46,4.77,0.0
Сердце баранье,86.0,13.5,3.5,0.0
"Сердце баранье, тушеное",185.0,24.97,7.91,1.93
Фарш из баранины,282.0,16.56,23.41,0.0
"Фарш из баранины, жаренный на открытом огне",283.0,24.75,19.65,0.0
Фарш из мяса белки (Аляска),111.0,19.3,3.8,0.0
Фарш из мяса бизона,223.0,18.67,15.93,0.0
"Фарш из мяса бизона, жаренный на сковороде",238.0,23.77,15.13,0.0
Фарш из мяса зубра пастбищного,146.0,20.23,7.21,0.05
"Фарш из мяса зубра пастбищного, приготовленный",179.0,25.45,8.62,0.0
Фарш из мяса лося,172.0,21.76,8.82,0.0
"Фарш из мяса лося, жаренный на сковороде",193.0,26.64,8.74,0.0
Фарш из мяса оленя (лани),157.0,21.78,7.13,0.0
"Фарш из мяса оленя (лани), жаренный на сковороде",187.0,26.45,8.22,0.0
"Шницель отбивной из баранины, по 1-416",333.0,21.8,23.2,9.1
Ягнятина,196.0,17.2,14.1,0.0
"Ягнятина, лопаточная часть",259.0,16.63,20.86,0.0
"Ягнятина, лопаточная часть жаренная на открытом огне",278.0,23.08,19.94,0.0
"Ягнятина, лопаточная часть только мясо",151.0,19.29,7.63,0.0
"Ягнятина, лопаточная часть только мясо, жаренная на открытом огне",211.0,25.48,11.32,0.0
"Ягнятина, лопаточная часть только мясо, запеченная",209.0,24.61,11.57,0.0
"Ягнятина, лопаточная часть, запеченная",281.0,22.25,20.61,0.0
"Ягнятина, лопаточная часть, только мясо, тушеная",288.0,32.35,16.64,0.0
"Ягнятина, лопаточная часть, тушеная",345.0,28.51,24.73,0.0
"Ягнятина, окорок",272.0,16.94,22.11,0.0
"Ягнятина, окорок, запеченный",292.0,24.63,20.67,0.0
"Ягнятина, окорок, только мясо, запеченный",204.0,28.35,9.17,0.0
"Ягнятина, плечевая часть",260.0,16.79,20.9,0.0
"Ягнятина, плечевая часть, жаренная на открытом огне",281.0,24.44,19.55,0.0
"Ягнятина, плечевая часть, запеченная",279.0,22.53,20.24,0.0
"Ягнятина, плечевая часть, только мясо",132.0,19.99,5.2,0.0
"Ягнятина, плечевая часть, только мясо, жаренная на открытом огне",200.0,27.71,9.02,0.0
"Ягнятина, плечевая часть, только мясо, запеченная",192.0,25.46,9.26,0.0
"Ягнятина, плечевая часть, только мясо, тушеная",279.0,35.54,14.08,0.0
"Ягнятина, плечевая часть, тушеная",346.0,30.39,24.0,0.0
Язык бараний,195.0,12.6,16.1,0.0
Язык бараний тушеный,275.0,21.57,20.28,0.0
Язык оленя карибу (Аляска),260.0,13.7,22.8,0.0
"LOMA LINDA Большие сосиски, низкожирные, консервированные, неприготовленные",154.0,23.1,4.7,4.9
"MORI-NU, Тофу, мягкий, шелковый",55.0,4.8,2.7,2.9
"MORI-NU, Тофу, твердый, шелковый",62.0,6.9,2.7,2.4
"MORI-NU, Тофу, экстра твердый, шелковый",55.0,7.4,1.9,2.0
Арахис,552.0,26.3,45.2,9.9
Арахис валенсия,570.0,25.09,47.58,12.21
"Арахис валенсия жаренный на масле, без соли",589.0,27.04,51.24,7.4
"Арахис валенсия жареный на масле, с солью",589.0,27.04,51.24,7.4
"Арахис вареный, с солью",318.0,13.5,22.01,12.46
Арахис вирджиния,563.0,25.19,48.75,8.04
"Арахис вирджиния жареный на масле, без соли",578.0,25.87,48.62,10.96
"Арахис вирджиния, жареный на масле, с солью",578.0,25.87,48.62,10.96
Арахис жареный,626.0,26.0,52.0,13.4
"Арахис жареный без масла, без соли",587.0,24.35,49.66,12.86
"Арахис жареный без масла, с солью",587.0,24.35,49.66,12.86
"Арахис жареный на масле, без соли",599.0,28.03,52.5,5.86
"Арахис жареный на масле, с солью",599.0,28.03,52.5,5.86
Арахис испанский,570.0,26.15,49.6,6.33
"Арахис испанский, жареный на масле, без соли",579.0,28.01,49.04,8.55
"Арахис испанский, жареный на масле, с солью",579.0,28.01,49.04,8.55
Арахисовая мука обезжиренная,327.0,52.2,0.55,18.9
Арахисовая мука с низким содерж. жира,428.0,33.8,21.9,15.47
Арахисовая паста без соли,598.0,22.21,51.36,17.31
Арахисовая паста обогащенная витаминами и минералами,591.0,25.72,50.81,13.15
"Арахисовая паста с кусочками орехов, без соли",589.0,24.06,49.94,13.57
"Арахисовая паста с кусочками орехов, обогащенное витаминами и минералами",593.0,26.06,51.47,11.99
"Арахисовая паста с кусочками орехов, с солью",589.0,24.06,49.94,13.57
Арахисовая паста с омега-3,608.0,24.47,54.17,10.9
"Арахисовая паста с пониж. содерж. жира, 34%",520.0,25.9,34.0,30.45
Арахисовая паста с пониженным содерж. натрия,590.0,24.0,49.9,15.23
Арахисовая паста с солью,598.0,22.21,51.36,17.31
"Арахисовая паста, стандарт США",588.0,21.93,49.54,18.28
"Арахисовое масло, паста-спред, с пониженным содерж. сахара",650.0,24.8,54.89,6.43
"Бекон, из заменителя мяса (из бобовых)",309.0,11.69,29.52,2.71
Боб садовый (конский) незрелый,72.0,5.6,0.6,7.5
"Боб садовый (конский) незрелый, вареный, без соли",62.0,4.8,0.5,6.5
"Боб садовый (конский) незрелый, вареный, с солью",62.0,4.8,0.5,10.1
Бобы (фасоль фава),341.0,26.12,1.53,33.29
"Бобы (фасоль фава), вареные, без соли",110.0,7.6,0.4,14.25
"Бобы (фасоль фава), вареные, с солью",110.0,7.6,0.4,14.25
"Бобы (фасоль фава), консервированные",71.0,5.47,0.22,8.71
"Бобы мунг (маш, фасоль золотистая), зрелые семена, вареные, без доб. соли",105.0,7.02,0.38,11.55
"Голубиный горох, зрелый",343.0,21.7,1.49,47.78
"Голубиный горох, зрелый, вареный, без соли",121.0,6.76,0.38,16.55
"Голубиный горох, зрелый, вареный, с солью",121.0,6.76,0.38,16.55
